,Sample Name,Cт Mean,Category,Cт Mean actb,ΔCт Mean
0,3,23.06199646,CON,18.20108795,4.860908509999998
1,4,22.83950615,CON,18.03811646,4.801389689999997
2,7,21.21219254,CSD,18.41159439,2.800598149999999
3,8,21.44374275,CSD,17.70213127,3.7416114799999995
4,9,23.35027504,CON,18.22233009,5.12794495
5,11,23.08678818,CON,17.18633842,5.900449760000001
6,1,23.27469444,CON,18.18733215,5.0873622900000015
7,10,18.97566223,CSD,17.655704500000002,1.3199577299999987
8,2,23.08519745,CON,18.54508018,4.54011727
9,6,22.74829292,CSD,17.22795105,5.520341869999999
10,12,23.47088242,CSD,18.58275986,4.888122559999999
